videoID,downloaded,videoName,title,preprocessed
_8zTPM09HR0,True,video0.mp4,¡Es oficial! Nikki Haley deja contienda por la candidatura presidencial republicana; no respalda a T,True
ETTew8yhL7g,True,video1.mp4,"Ni BYD ni JAC  El auto eléctrico más barato de México ahora lo tiene SEV, pero algo no nos convence",True
D3XdZd5Z2bs,True,video2.mp4,Normalistas de Ayotzinapa tumban puerta de Palacio Nacional para intentar entrar a hablar con AMLO,True
caDCY979Hdw,True,video3.mp4,Macron llama en Praga a los aliados de Ucrania a no ser cobardes ante Rusia,True
KXqN4iMOxAw,True,video4.mp4,"Por miedo a un apocalipsis, Microsoft guardó datos en el ártico.",True
SchkwImKPnY,True,video5.mp4,"OSCARS 2024: ¿CUÁNDO , HORARIOS, DÓNDE VER? ¡AQUÍ TE LO DECIMOS!",True
DLPk8pm9jds,True,video6.mp4,Dilema con el dorsal de Mbappé.,True
2seuYVTysz4,True,video7.mp4,Una Youtuber e Influencer.,False
K3mtTSYgBII,True,video8.mp4,"Los cinco mejores destinos turísticos según Booking com, dos están a unas horas de Morelia.",False
b4wNySMAqCE,True,video9.mp4,SRE niega que México quiera ingresar al grupo de los BRICS,False
2Kg8NGWlw-k,True,video10.mp4,López Obrador arremete contra alto comisionado de la ONU por pedir proteger al proceso electoral de,False
N4RRZMIx-OE,True,video11.mp4,"¡Sin fase de grupos! UEFA presenta NUEVO formato para la Champions, Europa y Conference League",False
Lz3BCxZ0_g8,True,video12.mp4,Francia se convierte en el primer país del mundo en inscribir el derecho al aborto en su Constitució,False
S_a3ELAgpNc,True,video13.mp4,Nintendo gana otra demanda recibirá más de dos millones de dólares de Yuzu y tendrán prohibido distr,False
9wq8jeH5hv8,True,video14.mp4,"Sullenberger ""SULLY"" comandaba el vuelo 1549 de US Airways.",False
7VbsKCt-kFs,True,video15.mp4,MLS hace oficial que el All Star Game 2024 será entre MLS vs  Liga MX.,False
K_sBuEkZQ0g,True,video16.mp4,La selección femenina de baloncesto de Irlanda se niega.,False
Z8AAPKGg7SA,True,video17.mp4,Morelia: estarán obligados vendedores de mascotas a ponerles un microchip.,False
RXrShClkF54,True,video18.mp4,MÉXICO VS BRASIL: ¿A QUÉ HORA Y DÓNDE VER LA SEMIFINAL DE LA COPA ORO W?,False
gmzGAsRbdj0,True,video19.mp4,"México desaconseja viajar a Haití, ante ola de violencia",False
wzUgsA8qDmk,True,video20.mp4,"Cuba pide a ONU urgente envío de alimentos, por primera vez",False
_3M1M4pgNvE,True,video21.mp4,Eliminan a Donald Trump de las elecciones primarias en Illinois por ataque al Capitolio,False
kOvhlT7VwDI,True,video22.mp4,EE  UU  plantea terminar su tratado de libre comercio con México si acepta fábricas de autos chinos,False
LEJMM2a2jyY,True,video23.mp4,México lamenta que Canadá vuelva a pedir visa a connacionales; analiza responder en reciprocidad,False
p1C44G6xVzs,True,video24.mp4,Morelia: transportistas no darán servicio para manifestarse.,False
nfyck--v8Ls,True,video25.mp4,Historia de la juventud de Marcelo Vieira.,False
0hPmJ_AXdL8,True,video26.mp4,¡Aguinaldo doble! Avanza en Senado reforma para incrementarlo de 15 a 30 días,False
Rg2Bo2Z8DGQ,True,video27.mp4,Esta es la mejor idea para dormirte según tu edad: Apple y estudio.,False
-jAOMZbWYtA,True,video28.mp4,"Información sobre Gabriela Nieto Soler, Sorda de Chiapas.",False
u4zJpHhx-Zw,True,video29.mp4,Información sobre INBOX de TvLSM en Facebook.,False
wjjVsa-PKIk,True,video30.mp4,Estas son las contraseñas más comunes en España y Latinoamérica.,False
